institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
University of Alabama in Huntsville,1,0,242,1,3,2,5,69,40,1,68,7,10,4,5924,64,15593,39,294828058,113737648,1529.33,96060,84,26,97
University of Alaska Fairbanks,1,1,395,1,3,1,4,,64,2,47,9,4,3,2806,38,35923,62,501512432,159604689,2246.99,94008,74,31,92
University of Arkansas at Little Rock,1,1,384,1,3,2,4,59,63,3,54,3,25,2,3309,42,30521,68,170893006,183220280,998.99,75216,76,60,98
University of Massachusetts-Dartmouth,1,0,242,1,3,2,6,91,53,1,51,12,18,3,4905,52,17589,51,252570000,118359656,1156.67,115158,64,48,99
University of Michigan-Dearborn,1,0,,1,3,2,6,56,48,4,64,7,9,10,5092,58,14227,78,161875000,93185000,935.67,101116,82,51,99
University of Missouri-St Louis,1,0,242,1,3,2,4,63,57,1,69,4,13,5,4872,57,16476,62,245410916,127708077,1380.33,90850,74,51,100
University of Nebraska at Omaha,1,0,301,1,3,2,4,87,55,3,60,17,8,5,10635,47,11150,78,270305550,141759357,1751.33,83762,78,44,94
University of New England,1,0,293,2,3,2,5,92,70,0,69,1,6,9,2199,68,53193,74,180805845,330754456,1164.33,86697,79,21,100
University of New Orleans,1,1,395,1,3,2,4,74,51,8,41,14,22,8,4522,38,5406,-3,155588005,27749072,1159.99,83017,67,57,90
University of North Carolina at Greensboro,1,0,198,1,4,2,4,89,66,2,39,16,30,6,12449,56,27410,61,384781370,428946901,2482,87777,79,60,92
University of North Carolina Wilmington,1,1,198,1,4,2,3,64,64,2,77,9,5,2,13161,71,9892,52,365759880,162149363,2482,90363,88,20,73
University of North Florida,1,0,222,1,3,2,4,53,58,2,57,16,12,6,11765,69,9822,41,311507156,147998667,1981.33,86928,85,35,86
University of Northern Colorado,1,0,343,1,3,2,4,86,67,2,58,28,4,2,5462,51,16623,29,184758796,119815567,1290,81228,76,33,97
University of San Diego,1,1,110,2,3,2,5,52,55,8,44,26,4,7,5824,84,81056,80,356180000,714021000,2116,118808,91,23,87
University of San Francisco,1,0,110,2,3,2,6,62,65,10,23,22,8,26,5795,70,63203,72,389596000,568825000,1590.01,134112,84,29,96
University of South Alabama,1,1,363,1,3,2,3,71,62,1,60,5,23,4,7974,53,52814,33,375142000,710294000,2292.01,70376,76,44,97
University of South Dakota,1,1,283,1,3,2,5,99,64,3,80,5,3,1,4781,60,41723,77,240669266,317638024,1413.65,83294,79,25,95
University of Tulsa,1,0,158,2,3,2,5,62,53,6,48,12,8,7,2466,72,378867,92,198030642,1290043000,1079.66,108739,92,24,100
University of West Florida,1,1,,1,3,2,4,58,59,3,60,12,11,3,7398,59,9434,46,245247344,108127993,1421.01,96008,89,35,91
Villanova University,1,1,57,2,3,2,5,27,54,2,68,11,6,7,7015,92,133969,79,506137021,1313033000,3029.32,124818,95,12,69
Virginia State University,1,1,,1,3,1,4,89,59,1,3,1,91,0,4862,39,20879,73,162971572,95582360,954.68,85715,69,67,92
Wake Forest University,1,1,51,2,3,2,5,22,55,8,63,9,7,5,5456,89,218978,67,2115633000,1997300000,8798.66,114071,93,12,43
West Chester University of Pennsylvania,1,1,242,1,3,2,3,78,59,0,73,8,11,3,13239,71,4397,7,295927586,69403013,1688.68,100929,83,28,88
Western Michigan University,1,0,293,1,4,2,3,85,51,5,68,9,8,3,11558,58,52184,54,378480628,754940001,2466.67,98247,81,30,96
Wichita State University,1,0,273,1,3,2,4,94,57,14,50,16,6,7,9336,51,28358,52,612115520,335902000,2680.67,83361,69,44,92
Wright State University-Main Campus,1,0,395,1,3,2,4,96,54,3,71,4,11,3,5663,42,19286,55,226613754,153809620,1413.29,92983,68,43,96
Yeshiva University,1,1,84,2,3,2,3,56,45,6,61,2,0,0,3125,83,71789,44,293802000,501162000,1489.67,122735,92,14,94
