institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
The University of Texas Rio Grande Valley,2,0,213,1,5,2,6,94,59,2,2,93,1,1,23744,51,5336,81,720082285,149460403,4302.66,81370,94,16,72
Thomas Jefferson University,1,1,132,2,3,2,-2,81,74,2,45,13,16,16,3517,69,339617,46,747577500,2912558000,5614.35,95958,56,79,96
University of Akron Main Campus,1,0,373,1,3,2,4,60,49,2,70,4,12,4,8855,52,30157,30,283061322,351635016,1797,92303,84,21,97
University of Alabama in Huntsville,1,0,242,1,3,2,5,69,40,1,68,7,10,4,5924,64,15593,39,294828058,113737648,1529.33,96060,78,55,91
University of Alaska Fairbanks,0,1,395,1,3,1,4,,64,2,47,9,4,3,2806,38,35923,62,501512432,159604689,2246.99,94008,91,13,71
University of Arkansas at Little Rock,0,1,384,1,3,2,4,59,63,3,54,3,25,2,3309,42,30521,68,170893006,183220280,998.99,75216,98,18,76
University of Massachusetts-Dartmouth,1,0,242,1,3,2,6,91,53,1,51,12,18,3,4905,52,17589,51,252570000,118359656,1156.67,115158,60,83,98
University of Michigan-Dearborn,2,0,,1,3,2,6,56,48,4,64,7,9,10,5092,58,14227,78,161875000,93185000,935.67,101116,81,30,99
University of Missouri-St Louis,2,0,242,1,3,2,4,63,57,1,69,4,13,5,4872,57,16476,62,245410916,127708077,1380.33,90850,94,39,97
University of Nebraska at Omaha,2,0,301,1,3,2,4,87,55,3,60,17,8,5,10635,47,11150,78,270305550,141759357,1751.33,83762,91,23,99
University of New England,2,0,293,2,3,2,5,92,70,0,69,1,6,9,2199,68,53193,74,180805845,330754456,1164.33,86697,92,21,100
University of New Orleans,2,1,395,1,3,2,4,74,51,8,41,14,22,8,4522,38,5406,-3,155588005,27749072,1159.99,83017,83,16,90
University of North Carolina at Greensboro,2,0,198,1,4,2,4,89,66,2,39,16,30,6,12449,56,27410,61,384781370,428946901,2482,87777,82,28,99
University of North Carolina Wilmington,2,1,198,1,4,2,3,64,64,2,77,9,5,2,13161,71,9892,52,365759880,162149363,2482,90363,86,22,99
University of North Florida,0,0,222,1,3,2,4,53,58,2,57,16,12,6,11765,69,9822,41,311507156,147998667,1981.33,86928,90,45,99
University of Northern Colorado,1,0,343,1,3,2,4,86,67,2,58,28,4,2,5462,51,16623,29,184758796,119815567,1290,81228,94,20,99
University of San Diego,2,1,110,2,3,2,5,52,55,8,44,26,4,7,5824,84,81056,80,356180000,714021000,2116,118808,84,20,100
University of San Francisco,0,0,110,2,3,2,6,62,65,10,23,22,8,26,5795,70,63203,72,389596000,568825000,1590.01,134112,90,17,79
University of South Alabama,2,1,363,1,3,2,3,71,62,1,60,5,23,4,7974,53,52814,33,375142000,710294000,2292.01,70376,80,36,84
University of South Dakota,1,1,283,1,3,2,5,99,64,3,80,5,3,1,4781,60,41723,77,240669266,317638024,1413.65,83294,87,27,99
University of Tulsa,2,0,158,2,3,2,5,62,53,6,48,12,8,7,2466,72,378867,92,198030642,1290043000,1079.66,108739,86,27,97
University of West Florida,2,1,,1,3,2,4,58,59,3,60,12,11,3,7398,59,9434,46,245247344,108127993,1421.01,96008,94,18,66
Villanova University,0,1,57,2,3,2,5,27,54,2,68,11,6,7,7015,92,133969,79,506137021,1313033000,3029.32,124818,83,38,93
Virginia State University,1,1,,1,3,1,4,89,59,1,3,1,91,0,4862,39,20879,73,162971572,95582360,954.68,85715,70,38,97
Wake Forest University,0,1,51,2,3,2,5,22,55,8,63,9,7,5,5456,89,218978,67,2115633000,1997300000,8798.66,114071,94,22,74
West Chester University of Pennsylvania,1,1,242,1,3,2,3,78,59,0,73,8,11,3,13239,71,4397,7,295927586,69403013,1688.68,100929,33,55,75
Western Michigan University,1,0,293,1,4,2,3,85,51,5,68,9,8,3,11558,58,52184,54,378480628,754940001,2466.67,98247,78,37,97
Wichita State University,0,0,273,1,3,2,4,94,57,14,50,16,6,7,9336,51,28358,52,612115520,335902000,2680.67,83361,85,31,90
Wright State University-Main Campus,1,0,395,1,3,2,4,96,54,3,71,4,11,3,5663,42,19286,55,226613754,153809620,1413.29,92983,57,68,95
Yeshiva University,1,1,84,2,3,2,3,56,45,6,61,2,0,0,3125,83,71789,44,293802000,501162000,1489.67,122735,58,48,83
,,,,,,,,,,,,,,,,,,,,,,,65,67,96
,,,,,,,,,,,,,,,,,,,,,,,93,16,89
,,,,,,,,,,,,,,,,,,,,,,,66,80,97
,,,,,,,,,,,,,,,,,,,,,,,80,45,87
,,,,,,,,,,,,,,,,,,,,,,,87,27,99
,,,,,,,,,,,,,,,,,,,,,,,70,60,94
,,,,,,,,,,,,,,,,,,,,,,,89,20,88
,,,,,,,,,,,,,,,,,,,,,,,82,26,100
,,,,,,,,,,,,,,,,,,,,,,,75,33,91
,,,,,,,,,,,,,,,,,,,,,,,92,16,96
,,,,,,,,,,,,,,,,,,,,,,,73,56,92
,,,,,,,,,,,,,,,,,,,,,,,97,26,65
,,,,,,,,,,,,,,,,,,,,,,,90,27,74
,,,,,,,,,,,,,,,,,,,,,,,79,70,88
,,,,,,,,,,,,,,,,,,,,,,,80,54,86
,,,,,,,,,,,,,,,,,,,,,,,95,11,45
,,,,,,,,,,,,,,,,,,,,,,,81,76,95
,,,,,,,,,,,,,,,,,,,,,,,89,16,98
,,,,,,,,,,,,,,,,,,,,,,,92,33,80
,,,,,,,,,,,,,,,,,,,,,,,82,47,100
,,,,,,,,,,,,,,,,,,,,,,,83,76,94
,,,,,,,,,,,,,,,,,,,,,,,87,29,100
,,,,,,,,,,,,,,,,,,,,,,,90,13,76
,,,,,,,,,,,,,,,,,,,,,,,93,20,100
,,,,,,,,,,,,,,,,,,,,,,,93,11,65
,,,,,,,,,,,,,,,,,,,,,,,83,49,98
,,,,,,,,,,,,,,,,,,,,,,,90,16,97
,,,,,,,,,,,,,,,,,,,,,,,85,39,86
,,,,,,,,,,,,,,,,,,,,,,,80,42,95
,,,,,,,,,,,,,,,,,,,,,,,73,42,97
,,,,,,,,,,,,,,,,,,,,,,,83,28,96
,,,,,,,,,,,,,,,,,,,,,,,84,26,97
,,,,,,,,,,,,,,,,,,,,,,,74,31,92
,,,,,,,,,,,,,,,,,,,,,,,86,20,77
,,,,,,,,,,,,,,,,,,,,,,,97,27,63
,,,,,,,,,,,,,,,,,,,,,,,76,60,98
,,,,,,,,,,,,,,,,,,,,,,,93,33,65
,,,,,,,,,,,,,,,,,,,,,,,94,31,61
,,,,,,,,,,,,,,,,,,,,,,,97,27,59
,,,,,,,,,,,,,,,,,,,,,,,88,48,80
,,,,,,,,,,,,,,,,,,,,,,,94,37,66
,,,,,,,,,,,,,,,,,,,,,,,93,28,61
,,,,,,,,,,,,,,,,,,,,,,,88,28,64
,,,,,,,,,,,,,,,,,,,,,,,92,25,92
,,,,,,,,,,,,,,,,,,,,,,,99,16,51
,,,,,,,,,,,,,,,,,,,,,,,85,22,88
,,,,,,,,,,,,,,,,,,,,,,,90,15,67
,,,,,,,,,,,,,,,,,,,,,,,92,25,88
,,,,,,,,,,,,,,,,,,,,,,,89,17,97
,,,,,,,,,,,,,,,,,,,,,,,92,17,94
,,,,,,,,,,,,,,,,,,,,,,,89,14,99
,,,,,,,,,,,,,,,,,,,,,,,98,21,94
,,,,,,,,,,,,,,,,,,,,,,,94,14,89
,,,,,,,,,,,,,,,,,,,,,,,81,27,76
,,,,,,,,,,,,,,,,,,,,,,,87,45,83
,,,,,,,,,,,,,,,,,,,,,,,76,30,99
,,,,,,,,,,,,,,,,,,,,,,,80,56,80
,,,,,,,,,,,,,,,,,,,,,,,95,24,64
,,,,,,,,,,,,,,,,,,,,,,,90,17,90
,,,,,,,,,,,,,,,,,,,,,,,86,22,94
,,,,,,,,,,,,,,,,,,,,,,,87,25,97
,,,,,,,,,,,,,,,,,,,,,,,74,53,96
,,,,,,,,,,,,,,,,,,,,,,,81,40,98
,,,,,,,,,,,,,,,,,,,,,,,83,29,99
,,,,,,,,,,,,,,,,,,,,,,,84,21,99
,,,,,,,,,,,,,,,,,,,,,,,85,29,93
,,,,,,,,,,,,,,,,,,,,,,,96,16,67
,,,,,,,,,,,,,,,,,,,,,,,92,18,89
,,,,,,,,,,,,,,,,,,,,,,,70,49,92
,,,,,,,,,,,,,,,,,,,,,,,64,48,99
,,,,,,,,,,,,,,,,,,,,,,,84,37,92
,,,,,,,,,,,,,,,,,,,,,,,77,64,95
,,,,,,,,,,,,,,,,,,,,,,,94,14,81
